iter	RMSE
246	0.2255177315
247	0.2251045403
248	0.2246633294
249	0.2244784338
250	0.2239073138
251	0.2232282501
252	0.223098346
253	0.2225745241
254	0.2224051073
255	0.2218214699
256	0.221559894
257	0.2212973597
258	0.2206740124
259	0.2202258578
260	0.2198355869
261	0.2192719223
262	0.2191546697
263	0.2189229443
264	0.2185577693
265	0.2181806174
266	0.2180149077
267	0.2176348368
268	0.2173860199
269	0.2170355597
270	0.2164295585
271	0.2161320857
272	0.2157439164
273	0.2152817856
274	0.2147166634
275	0.2143187066
276	0.2139189237
277	0.2135747464
278	0.2131671511
279	0.2129441956
280	0.2126488206
281	0.2121447016
282	0.2120003324
283	0.2114508453
284	0.2109850592
285	0.2104243726
286	0.2102132628
287	0.2099076655
288	0.2098251424
289	0.2093898003
290	0.2089295638
291	0.2086288967
292	0.2085566826
293	0.2081394663
294	0.207720235
295	0.2071538504
296	0.2067212512
297	0.2064237076
298	0.2060775432
299	0.2060021063
300	0.2055314372
301	0.2052135553
302	0.2047869287
303	0.204737802
304	0.2041638824
305	0.2036976434
306	0.2033280705
307	0.2030628865
308	0.2029201208
309	0.2024805475
310	0.2019924842
311	0.2016382979
312	0.2013320753
313	0.2008693376
314	0.2004936089
315	0.2001648793
316	0.1997732476
317	0.1993212484
318	0.1989596805
319	0.198551295
320	0.1982360725
321	0.1979882046
322	0.1975327199
323	0.197166118
324	0.1970394693
325	0.1966783088
326	0.1962514866
327	0.1959276861
328	0.1956786582
329	0.1954359796
330	0.1950878531
331	0.1950269206
332	0.1945995766
333	0.1941938588
334	0.1939324009
335	0.1934190281
336	0.1930550779
337	0.1926715581
338	0.1922357641
339	0.1919664693
340	0.191474489
341	0.1911096214
342	0.1907565129
343	0.1903914845
344	0.1900923621
345	0.1897918305
346	0.189511289
347	0.1892101666
348	0.1890415649
349	0.1887939227
350	0.1884940261
351	0.1882292077
352	0.1880178951
353	0.1878217049
354	0.1876050791
355	0.187280087
356	0.1870054726
357	0.1867405737
358	0.1863587777
359	0.185941282
360	0.1854880504
361	0.1851451763
362	0.1848374719
363	0.1845257011
364	0.1844055001
365	0.1841748017
366	0.1839369213
367	0.1835504579
368	0.1832410798
369	0.1827715904
370	0.1822822005
371	0.1818798095
372	0.1814528875
373	0.1812916691
374	0.1810006025
375	0.1807888767
376	0.1805262438
377	0.1801385505
378	0.1798425103
379	0.1796000154
380	0.1794486872
381	0.1790898769
382	0.178598117
383	0.1783155195
384	0.1781301141
385	0.1779254437
386	0.177713815
387	0.177258255
388	0.1769150832
389	0.1766683055
390	0.1763888548
391	0.1759747347
392	0.1757884043
393	0.1755627674
394	0.1755262383
395	0.1751654871
396	0.1748737238
397	0.1747845958
398	0.1745359813
399	0.1744855681
400	0.1741949283
401	0.1741474448
402	0.1738090767
403	0.1733626185
404	0.1731253871
405	0.1728335776
406	0.1725850305
407	0.1724078192
408	0.1721669599
409	0.1719794429
410	0.1718359727
411	0.1717607851
412	0.1715035198
413	0.1714595121
414	0.1714042649
415	0.1713615781
416	0.1709706746
417	0.1707213073
418	0.1706794961
419	0.1702877249
420	0.1699219763
421	0.1695352873
422	0.1692539278
423	0.1690198935
424	0.1689167989
425	0.1687130273
426	0.168566907
427	0.1681264175
428	0.1678810458
429	0.1678374635
430	0.1677972392
431	0.1676698596
432	0.167630026
433	0.1673642399
434	0.167238025
435	0.1671994718
436	0.1667853728
437	0.1664715934
438	0.166434279
439	0.1660686009
440	0.1658140352
441	0.1656203229
442	0.1653280854
443	0.1650560213
444	0.1650198921
445	0.1647056251
446	0.1644654897
447	0.16442573
448	0.164235698
449	0.1639249215
450	0.1636204417
451	0.1634500949
452	0.1632883394
453	0.1631625092
454	0.1627838245
455	0.1624812434
456	0.1624395067
457	0.1622961149
458	0.162036662
459	0.1618955502
460	0.1615075355
461	0.1611627008
462	0.1610918348
463	0.1607843845
464	0.1605090321
465	0.1602361165
466	0.1598644326
467	0.1595678948
468	0.1592469209
469	0.1589983833
470	0.1589397678
471	0.1587952109
472	0.1585009606
473	0.1582224448
474	0.1579748168
475	0.1578138818
476	0.1577073548
477	0.1573664293
478	0.1571151426
479	0.1568118396
480	0.1565754218
481	0.1564009466
482	0.1562902923
483	0.1561426231
484	0.1561046066
485	0.1560225254
486	0.1559837696
487	0.1558071598
488	0.1555612843
489	0.1555358984
490	0.155491241
491	0.155244404
492	0.1549906095
493	0.1547667982
494	0.1544543274
495	0.1544257029
496	0.1542584606
497	0.1540570741
498	0.1538802276
499	0.1537028199
500	0.1534463588
501	0.1531674824
502	0.1529177702
503	0.1527504408
504	0.1523806064
505	0.1521954277
506	0.1520961687
507	0.1520468006
508	0.1518725881
509	0.1516067632
510	0.1515398455
511	0.1511754765
512	0.1509251845
513	0.1506665452
514	0.1505766862
515	0.1503311615
516	0.1502872946
517	0.1500923453
518	0.1499807591
519	0.1496603072
520	0.1492691345
521	0.1489406415
522	0.1486794652
523	0.1484784522
524	0.1482909379
525	0.1480406509
526	0.1477635806
527	0.1477153552
528	0.1476165449
529	0.147281546
530	0.1471649113
531	0.1469117762
532	0.1468703495
533	0.1465971035
534	0.1464227908
535	0.1462236306
536	0.1460341328
537	0.1459273041
538	0.1456751711
539	0.1453549694
540	0.1452077002
541	0.1450701432
542	0.1447869885
543	0.1445433706
544	0.1443907957
545	0.1441595141
546	0.1440533423
547	0.1438132204
548	0.14378121
549	0.1437046186
550	0.1435614382
551	0.1433681211
552	0.1431194219
553	0.142854225
554	0.1425534003
555	0.1423204992
556	0.1422052326
557	0.1419334727
558	0.1417752201
559	0.1416682399
560	0.1415088923
561	0.1414037427
562	0.1411724456
563	0.1409943769
564	0.1408186063
565	0.1405670709
566	0.1403739331
567	0.1401835964
568	0.1399335959
569	0.1396875907
570	0.1394850074
571	0.1393880435
572	0.1392884525
573	0.1390699505
574	0.1387659664
575	0.1386444355
576	0.1383917267
577	0.1383600803
578	0.1381323126
579	0.1379211821
580	0.1377115402
581	0.1375246187
582	0.1372656624
583	0.1370496852
584	0.1367185398
585	0.1364625235
586	0.13640368
587	0.1362515919
588	0.1361598531
589	0.1359907818
590	0.1358175168
591	0.1356733095
592	0.1356088429
593	0.1355722689
594	0.1354275735
595	0.1353346664
596	0.1352795989
597	0.1349813089
598	0.1347077255
599	0.1345173228
600	0.1343337059
601	0.1340836658
602	0.1337886503
603	0.1336829652
604	0.1333789276
605	0.1333455066
606	0.1330746266
607	0.1329229799
608	0.1328598178
609	0.1327550259
610	0.1327187886
611	0.1325010748
612	0.1322628383
613	0.1320562227
614	0.1319051373
615	0.131587208
616	0.1315535253
617	0.1314737676
618	0.1312072652
619	0.1310521083
620	0.1309292184
621	0.1307292851
622	0.1306554489
623	0.1304585092
624	0.1302806498
625	0.1300466604
626	0.1298402669
627	0.1295765712
628	0.1292990475
629	0.1291517741
630	0.1288922803
631	0.1288584195
632	0.1286655317
633	0.1284181831
634	0.1283012452
635	0.1281424481
636	0.1279493353
637	0.1278223965
638	0.1276392567
639	0.1274101431
640	0.1273489818
641	0.1272594655
642	0.1270773296
643	0.127062524
644	0.1269032206
645	0.1267313126
646	0.1265635141
647	0.1264212579
648	0.1263151217
649	0.1262241762
650	0.1261978301
651	0.1260473137
652	0.125877201
653	0.1255694808
654	0.1253900121
655	0.1252492767
656	0.1250824114
657	0.1249263239
658	0.1246223868
659	0.1245891282
660	0.1245338176
661	0.1243310314
662	0.1241395636
663	0.1238864273
664	0.1236016242
665	0.1234260609
666	0.123372844
667	0.1233575011
668	0.1233240667
669	0.1231695968
670	0.1229116668
671	0.1226932157
672	0.1225743706
673	0.1223517111
674	0.1221761062
675	0.1219808514
676	0.1217671342
677	0.121533068
678	0.1213637317
679	0.1210912884
680	0.1209846829
681	0.1208513104
682	0.1208341923
683	0.1206835603
684	0.1205197664
685	0.1203869879
686	0.1201330977
687	0.1199535096
688	0.1197991919
689	0.1195847221
690	0.1193317957
691	0.1191491257
692	0.1189097818
693	0.1186109095
694	0.1185044855
695	0.1182051985
696	0.1180168362
697	0.117917865
698	0.1179029607
699	0.1178835378
700	0.1176489833
701	0.1173944156
702	0.1171135085
703	0.1168780033
704	0.1166618644
705	0.1165374477
706	0.1163551852
707	0.1161206258
708	0.1159228303
709	0.1158252126
710	0.1156001964
711	0.1154726061
712	0.1153535096
713	0.1152045245
714	0.1150550557
715	0.1148835588
716	0.1147380614
717	0.1145576227
718	0.1143184324
719	0.1142013203
720	0.1140151995
721	0.1138981498
722	0.1138620454
723	0.1137220732
724	0.1135554405
725	0.1135207949
726	0.1133161634
727	0.1131395518
728	0.1129104697
729	0.1127692954
730	0.1126140764
731	0.1123515237
732	0.1123330476
733	0.1121715987
734	0.112154294
735	0.1119064202
736	0.1118689153
737	0.111762348
738	0.111744601
739	0.1114957106
740	0.1113368074
741	0.1111697489
742	0.1109544268
743	0.1108245664
744	0.1106614993
745	0.1104596842
746	0.1103676914
747	0.1102885172
748	0.1101133194
749	0.1100578699
750	0.109920331
751	0.1099017986
752	0.1098816132
753	0.1096896918
754	0.1095049452
755	0.1093148767
756	0.1092039534
757	0.10918623
758	0.109119667
759	0.1089824114
760	0.1087780468
761	0.108596564
762	0.1084552493
763	0.1084382696
764	0.108292466
765	0.1081166016
766	0.1080051553
767	0.1078874136
768	0.1077744647
769	0.1075669042
770	0.107551734
771	0.1073839645
772	0.1073674572
773	0.1072436422
774	0.1072273943
775	0.1070409563
776	0.1069405077
777	0.106924837
778	0.1069094097
779	0.1067389259
780	0.1065422388
781	0.1063707535
782	0.1062721077
783	0.1062569007
784	0.1062410661
785	0.1060115633
786	0.1058856669
787	0.1058181618
788	0.1056688651
789	0.1055449861
790	0.1054814412
791	0.1053654719
792	0.1051686571
793	0.1051545187
794	0.1049528965
795	0.1048734849
796	0.1047255563
797	0.1045459263
798	0.1045342201
799	0.1043230728
800	0.1042950644
801	0.1040981229
802	0.1039813565
803	0.103768822
804	0.1036330431
805	0.1035944304
806	0.1035321482
807	0.1033883437
808	0.1032325435
809	0.1031062592
810	0.1029846035
811	0.1029715191
812	0.1028737355
813	0.1027094307
814	0.102615866
815	0.1024630657
816	0.1022952056
817	0.1021942299
818	0.1019915341
819	0.1017956087
820	0.1016483841
821	0.1015140676
822	0.1014484181
823	0.1014299665
824	0.1012326302
825	0.1011365653
826	0.1011175828
827	0.1009884454
828	0.1008515686
829	0.1008356078
830	0.1007513048
831	0.1005692377
832	0.1004878606
833	0.1002947686
834	0.1002093663
835	0.09999761239
836	0.09984991772
837	0.09966170192
838	0.09955028555
839	0.09950209206
840	0.0994795299
841	0.09926822705
842	0.09922275852
843	0.09897752064
844	0.09884413219
845	0.09871628994
846	0.09854704267
847	0.09839645989
848	0.09821851809
849	0.09819453495
850	0.09812723582
851	0.09802066252
852	0.09782602759
853	0.09764498188
854	0.09763174704
855	0.09753010295
856	0.09751959751
857	0.09732984384
858	0.09718191773
859	0.09716864353
860	0.09706688103
861	0.09693015896
862	0.0966968404
863	0.09657484485
864	0.09637017821
865	0.09626544662
866	0.09611039907
867	0.09601025302
868	0.09589881006
869	0.09588445359
870	0.09574707754
871	0.09554866216
872	0.09546256889
873	0.09530782575
874	0.09518205084
875	0.0950058537
876	0.09499305981
877	0.09490808809
878	0.09481487476
879	0.09464971603
880	0.09449455029
881	0.09437754435
882	0.09428666364
883	0.09417069631
884	0.09399402595
885	0.09389179523
886	0.09373772905
887	0.09362345759
888	0.0936102253
889	0.09344021355
890	0.09328361404
891	0.0930698962
892	0.0929326078
893	0.09282335638
894	0.09267146006
895	0.09252432343
896	0.09241236844
897	0.09240100076
898	0.09222930826
899	0.09221809735
900	0.09205963721
901	0.09183204568
902	0.09166177384
903	0.09146958097
904	0.09133524344
905	0.09122892966
906	0.09117849085
907	0.09106916819
908	0.09090512983
909	0.09079335839
910	0.09065308193
911	0.09056691338
912	0.09046884722
913	0.0904276744
914	0.09027564604
915	0.09018104204
916	0.09008320986
917	0.08989960292
918	0.08988775875
919	0.08978429334
920	0.0896613447
921	0.08952958634
922	0.08948172466
923	0.08946570534
924	0.0893014983
925	0.08917311278
926	0.08909641253
927	0.08908623683
928	0.08895662905
929	0.08887878247
930	0.08878436964
931	0.08877217627
932	0.08858735314
933	0.08851813226
934	0.08836124251
935	0.08822662653
936	0.08819902978
937	0.08805095462
938	0.08793658705
939	0.08777910873
940	0.08776864923
941	0.08762549603
942	0.08750639089
943	0.0873097619
944	0.0872995749
945	0.08715489225
946	0.0869890302
947	0.08696157811
948	0.08687073023
949	0.08685999571
950	0.08671775473
951	0.0866228593
952	0.08653420137
953	0.08639669599
954	0.08625384984
955	0.08624178192
956	0.08612894579
957	0.08601550445
958	0.08600515674
959	0.08587368877
960	0.08575353445
961	0.08565137224
962	0.08551044984
963	0.08534534103
964	0.08521772514
965	0.08505719713
966	0.08494357983
967	0.08488672678
968	0.08479313085
969	0.08465111865
970	0.08449722148
971	0.08439299302
972	0.08431649697
973	0.08418654932
974	0.08403226937
975	0.08393100681
976	0.08379985696
977	0.08368636328
978	0.08366494652
979	0.0835430625
980	0.08339148386
981	0.08332098913
982	0.08330194778
983	0.08320004042
984	0.08306609322
985	0.08294293727
986	0.08293307217
987	0.08284414101
988	0.08268102879
989	0.08264357079
990	0.08255948605
991	0.08248435785
992	0.08233934918
993	0.08215083748
994	0.08204136489
995	0.08200066062
996	0.08191626186
997	0.08180730698
998	0.08179565305
999	0.08172961553
